doc,neu%,pos%,neg%,sadness%,joy%,fear%,disgust%,anger%
doc01-04-2020,34.75,19.25,46,30,38.5,9,12.75,6.75
doc02-04-2020,30.62,14.73,54.65,32.95,29.84,12.79,18.6,5.81
doc03-04-2020,32.04,9.58,58.38,23.35,24.85,4.19,28.14,19.46
doc04-04-2020,24.07,8.81,67.12,20.34,26.44,7.12,24.41,21.69
doc05-04-2020,32.75,17.25,50,28,36.5,8,10.75,4.75
